Object_ComplaintNo,Object_ObjectNumber,ObjectType,Position,SafetyEquip,InjuryLevel,Age,Sex,DirectionOfTravel,ObjectID,DriverAction,LightConditionsA,LightConditionsB,TrafficControlDev,TrafficControlCond,PedestrianAction,ContribRoadCond,ContribVehCond,UnsafeSpeed,DriverPedCondition,PrimaryEvent,StartMonth,StartDay,StartTime,Severity,VehicleCount,InjuredCount,FatalityCount,HitRunFlag,SurfaceConditions,EnvironConditions,DamageGE1000,SpecialFacility,RoadAlignA,RoadAlignB,RoadClass,CollLocation,Address
96000889,02,2,12,08,NO INJURY,028,M,,07,00,01,01,01,00,03,00,00,00,,01,199601,01,1545,03,1,0,0,1,99,99,NO,01,01,01,02,01,ROSEVIEW DR NW & 14 ST NW
96001100,02,2,12,08,MINOR INJURY,013,M,,07,00,01,01,06,01,01,00,00,00,,01,199601,02,1545,02,1,1,0,2,01,01,NO,01,01,01,02,02,CENTRE ST N & 8 AV NE
96001503,03,2,12,08,MINOR INJURY,000,,,07,00,01,01,01,00,98,00,00,00,,01,199601,03,0840,02,2,1,0,2,03,04,YES,09,02,01,02,01,4303 14 ST NW
96001503,03,2,12,08,MINOR INJURY,000,,,07,00,01,01,01,00,98,00,00,00,,01,199601,03,0840,02,2,1,0,2,03,04,YES,09,02,01,02,01,4303 14 ST NW
96001503,03,2,12,08,MINOR INJURY,000,,,07,00,01,01,01,00,98,00,00,00,,01,199601,03,0840,02,2,1,0,2,03,04,YES,09,02,01,02,01,4303 14 ST NW
96001503,03,2,12,08,MINOR INJURY,000,,,07,00,01,01,01,00,98,00,00,00,,01,199601,03,0840,02,2,1,0,2,03,04,YES,09,02,01,02,01,4303 14 ST NW
96001515,02,2,12,08,MINOR INJURY,024,M,,07,00,01,01,01,00,01,00,00,00,,01,199601,02,1615,02,1,1,0,2,03,01,NO,00,01,01,03,01,10233 ELBOW DR SW
96002862,02,2,12,08,MINOR INJURY,053,F,N,07,00,01,00,06,01,01,00,00,00,,01,199601,05,1312,02,1,1,0,2,03,01,NO,01,01,01,02,02,11 ST SW & 17 AV SW
96002889,01,2,12,08,MINOR INJURY,034,M,,07,00,01,01,02,01,98,00,00,00,,01,199601,05,1355,02,1,1,0,2,03,04,YES,01,01,01,01,02,CENTRE ST S & 5 AV SE
96003111,01,2,12,08,MAJOR INJURY,043,M,E,07,00,03,02,01,00,02,00,00,00,,01,199601,05,1924,02,1,1,0,2,03,01,YES,01,01,01,02,01,1918 BOWNESS RD NW
96003232,01,2,12,08,MINOR INJURY,016,M,N,07,00,03,02,01,00,98,00,00,00,,01,199601,05,2248,02,1,1,0,2,03,01,NO,00,00,01,01,09,116 60 AV NE
96003332,03,2,12,08,NO INJURY,051,M,,07,00,03,02,01,00,04,00,00,00,,01,199601,06,0220,03,2,0,0,1,02,01,NO,09,01,01,08,08,3440 BOW TR SW
96003332,03,2,12,08,NO INJURY,051,M,,07,00,03,02,01,00,04,00,00,00,,01,199601,06,0220,03,2,0,0,1,02,01,NO,09,01,01,08,08,3440 BOW TR SW
96003332,03,2,12,08,NO INJURY,051,M,,07,00,03,02,01,00,04,00,00,00,,01,199601,06,0220,03,2,0,0,1,02,01,NO,09,01,01,08,08,3440 BOW TR SW
96003332,03,2,12,08,NO INJURY,051,M,,07,00,03,02,01,00,04,00,00,00,,01,199601,06,0220,03,2,0,0,1,02,01,NO,09,01,01,08,08,3440 BOW TR SW
96003790,02,2,12,08,MINOR INJURY,029,F,,07,00,03,01,01,00,03,00,00,00,,07,199601,06,1815,02,1,1,0,2,03,01,NO,01,01,01,02,01,16 WHITMAN CL NE
96005409,03,2,12,08,MINOR INJURY,054,M,N,07,00,01,01,06,01,01,00,00,00,,04,199601,09,1055,02,1,1,0,2,02,01,NO,01,01,01,01,02,11 AV SW & 4 ST SW
96005409,02,2,12,08,NO INJURY,040,M,N,07,00,01,01,06,01,01,00,00,00,,04,199601,09,1055,02,1,1,0,2,02,01,NO,01,01,01,01,02,11 AV SW & 4 ST SW
96005409,02,2,12,08,NO INJURY,040,M,N,07,00,01,01,06,01,01,00,00,00,,04,199601,09,1055,02,1,1,0,2,02,01,NO,01,01,01,01,02,11 AV SW & 4 ST SW
96005409,03,2,12,08,MINOR INJURY,054,M,N,07,00,01,01,06,01,01,00,00,00,,04,199601,09,1055,02,1,1,0,2,02,01,NO,01,01,01,01,02,11 AV SW & 4 ST SW
